epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,11095.4,1.43434,1.27428,1.49953,0.74424,0.51387,0.62261,0.37779,1.5638,1.26772,1.65496,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954,0.023862,0.007954
33,11437.8,1.4308,1.27321,1.49641,0.58862,0.60605,0.63162,0.3776,1.55968,1.25516,1.65642,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888,0.023664,0.007888
34,11779.4,1.42079,1.25808,1.49636,0.60578,0.61424,0.63696,0.3831,1.56387,1.25005,1.66319,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
35,12120.9,1.41569,1.24115,1.48516,0.64919,0.60752,0.63329,0.37798,1.56643,1.24472,1.66205,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
36,12462.3,1.40779,1.23286,1.48215,0.61863,0.61167,0.63521,0.38113,1.56655,1.24143,1.66064,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
37,12804,1.39911,1.2164,1.47328,0.60635,0.64087,0.64783,0.3904,1.5671,1.23301,1.66162,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
38,13146.1,1.39739,1.21397,1.47276,0.62565,0.62862,0.65259,0.39056,1.56945,1.22754,1.66552,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
39,13487.4,1.39138,1.20112,1.46474,0.62003,0.62037,0.65995,0.39148,1.57239,1.22653,1.67012,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
40,13828.4,1.38356,1.18966,1.4585,0.61221,0.6355,0.66097,0.39363,1.57181,1.22429,1.67023,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
41,14169.6,1.37001,1.16724,1.44564,0.60436,0.65119,0.67009,0.39835,1.57386,1.22334,1.67037,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
42,14510.7,1.36542,1.15791,1.4431,0.57911,0.66618,0.67062,0.40132,1.57549,1.22224,1.67219,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
43,14852.2,1.36254,1.14786,1.43714,0.59574,0.6612,0.67032,0.40071,1.57498,1.21839,1.67037,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
44,15193.3,1.35927,1.14884,1.43585,0.62309,0.66311,0.67355,0.40355,1.57757,1.21346,1.67376,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
45,15535.4,1.35474,1.13297,1.42845,0.61616,0.65869,0.67645,0.40571,1.57605,1.21092,1.6718,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
46,15877.1,1.34375,1.12212,1.42098,0.61233,0.67901,0.68395,0.40849,1.57699,1.20821,1.67304,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
47,16218.2,1.33886,1.10558,1.41951,0.64346,0.66037,0.68666,0.40942,1.57849,1.20627,1.67475,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
48,16559.9,1.33477,1.10243,1.41248,0.67447,0.63914,0.68604,0.41206,1.57944,1.20544,1.6756,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
49,16901.4,1.32285,1.08799,1.40852,0.67885,0.63015,0.67621,0.40913,1.58204,1.20563,1.67785,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
50,17243,1.32062,1.08298,1.40155,0.66881,0.62856,0.67494,0.4085,1.58382,1.20438,1.67978,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
51,17584,1.31365,1.07128,1.39962,0.70484,0.61663,0.67573,0.40992,1.58543,1.20282,1.68137,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
52,17925.1,1.3105,1.06018,1.39394,0.68277,0.62252,0.67696,0.40839,1.58728,1.20252,1.68335,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
53,18266.2,1.3056,1.05471,1.38473,0.70894,0.61564,0.67745,0.40883,1.58867,1.20196,1.68429,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
54,18607.2,1.29862,1.04614,1.38334,0.7084,0.61711,0.67707,0.40796,1.59012,1.20201,1.68566,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
55,18948.8,1.28999,1.04096,1.3786,0.71223,0.61621,0.67666,0.40795,1.5914,1.20315,1.68759,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
56,19289.1,1.2866,1.03008,1.37433,0.6329,0.65805,0.67729,0.40979,1.59186,1.20359,1.68801,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
57,19629.8,1.28004,1.0205,1.36339,0.63664,0.66033,0.67932,0.41087,1.59323,1.20445,1.68953,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
58,19970.6,1.27342,1.01353,1.36449,0.6416,0.66398,0.67961,0.41181,1.59412,1.20484,1.69081,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
59,20312.7,1.26673,1.00281,1.35778,0.63438,0.66488,0.68047,0.41237,1.59567,1.20562,1.69323,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
60,20653.6,1.26076,0.99472,1.35137,0.63541,0.66388,0.67854,0.41156,1.59705,1.20524,1.69462,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
61,20995.1,1.25215,0.98642,1.34584,0.63682,0.66687,0.67964,0.41201,1.5979,1.20569,1.69535,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
62,21336.8,1.2539,0.98983,1.34444,0.63386,0.66836,0.67974,0.41228,1.59794,1.20579,1.69541,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974,0.017922,0.005974
63,21678.6,1.24377,0.97527,1.3412,0.62885,0.66865,0.68059,0.41254,1.59906,1.20585,1.69698,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908,0.017724,0.005908
64,22020.7,1.24432,0.96955,1.33753,0.62111,0.67045,0.68229,0.41353,1.60013,1.20582,1.69845,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
65,22362.3,1.23041,0.94812,1.32682,0.63006,0.67335,0.68344,0.41436,1.60071,1.20627,1.69932,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776,0.017328,0.005776
66,22704.2,1.22718,0.94614,1.3207,0.63526,0.67335,0.68352,0.41245,1.60114,1.20731,1.70005,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571,0.01713,0.00571
67,23045.7,1.22065,0.94519,1.32404,0.63722,0.67619,0.68402,0.41331,1.60174,1.20811,1.70095,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
68,23386.9,1.21786,0.93891,1.32588,0.63744,0.67692,0.68483,0.41399,1.60293,1.20734,1.70275,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578,0.016734,0.005578
69,23728.4,1.2175,0.93759,1.32059,0.64324,0.67365,0.68628,0.41406,1.60323,1.20759,1.70332,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512,0.016536,0.005512
70,24069.5,1.20784,0.92206,1.31083,0.64342,0.67189,0.68659,0.41565,1.60407,1.20815,1.70453,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
71,24410.7,1.19982,0.92221,1.30284,0.64177,0.67253,0.68627,0.41535,1.60441,1.20868,1.70517,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538,0.01614,0.00538
72,24751.7,1.18576,0.90196,1.29375,0.64084,0.67287,0.68506,0.41593,1.60533,1.20923,1.70585,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314,0.015942,0.005314
73,25092.7,1.19258,0.90726,1.29638,0.64109,0.67289,0.68523,0.4156,1.60636,1.2099,1.70683,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
74,25434.2,1.18523,0.89478,1.28822,0.64287,0.66786,0.68601,0.4151,1.60745,1.21123,1.70837,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182,0.015546,0.005182
75,25775.4,1.18475,0.89712,1.2844,0.64637,0.6662,0.68579,0.41569,1.60862,1.21244,1.70964,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116,0.015348,0.005116
76,26116.9,1.17042,0.88371,1.27877,0.64768,0.66285,0.68623,0.41587,1.60985,1.21315,1.71077,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
77,26458.1,1.16665,0.87759,1.27873,0.64588,0.65873,0.68312,0.41639,1.61133,1.21396,1.71238,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984,0.014952,0.004984
78,26799.5,1.15636,0.87218,1.27045,0.65338,0.65728,0.68278,0.41647,1.61273,1.2151,1.71384,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918,0.014754,0.004918
79,27141,1.15851,0.87115,1.2745,0.65034,0.6578,0.68386,0.41553,1.61389,1.21595,1.71517,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
80,27481.7,1.14932,0.85921,1.26829,0.65552,0.65449,0.68693,0.41555,1.6152,1.21705,1.71689,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786,0.014358,0.004786
81,27822.2,1.14403,0.85129,1.26405,0.65869,0.65624,0.68848,0.41522,1.61689,1.21828,1.71913,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472,0.01416,0.00472
82,28162.2,1.14075,0.85102,1.26213,0.66389,0.65113,0.68817,0.41591,1.61842,1.21792,1.72076,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
83,28503.3,1.13386,0.84364,1.2571,0.67665,0.65083,0.68862,0.41593,1.61984,1.21839,1.72285,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588,0.013764,0.004588
84,28843.9,1.12648,0.83495,1.25065,0.68066,0.65041,0.68848,0.416,1.62173,1.21869,1.72505,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522,0.013566,0.004522
85,29184.8,1.12224,0.82793,1.24609,0.68473,0.64746,0.68866,0.41684,1.62321,1.21838,1.72664,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
86,29526.6,1.12358,0.8294,1.24807,0.68495,0.65026,0.68942,0.41805,1.62491,1.21852,1.72849,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439,0.01317,0.00439
87,29868.4,1.1126,0.82092,1.24034,0.68663,0.65213,0.6897,0.41946,1.6261,1.21931,1.72996,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324,0.012972,0.004324
88,30210.2,1.10262,0.81094,1.23397,0.68602,0.65517,0.69012,0.41909,1.62742,1.21991,1.73175,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
89,30551.7,1.1011,0.80616,1.23216,0.68777,0.6512,0.69053,0.4184,1.62849,1.22095,1.73359,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192,0.012576,0.004192
90,30892.3,1.09596,0.8023,1.22443,0.69318,0.65219,0.69024,0.41947,1.62968,1.22189,1.73522,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126,0.012378,0.004126
91,31234.1,1.08823,0.79162,1.22162,0.69362,0.65249,0.69061,0.4192,1.63101,1.22327,1.73708,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
92,31575.1,1.08271,0.78669,1.21521,0.69319,0.65068,0.69034,0.41774,1.63237,1.22442,1.7391,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994,0.011982,0.003994
93,31916.9,1.07311,0.78582,1.21202,0.69439,0.64932,0.69021,0.41709,1.63392,1.22589,1.74097,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928,0.011784,0.003928
94,32258.6,1.0732,0.77483,1.2125,0.70517,0.64667,0.69182,0.41822,1.63497,1.22668,1.74255,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
95,32599.4,1.06626,0.76856,1.20353,0.69886,0.64976,0.69183,0.41915,1.63618,1.22833,1.74432,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796,0.011388,0.003796
96,32941.1,1.06163,0.76388,1.20133,0.69742,0.65094,0.69279,0.42021,1.63784,1.22998,1.74634,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373,0.01119,0.00373
97,33282.7,1.05831,0.75831,1.1989,0.69605,0.65376,0.69306,0.42111,1.63953,1.23157,1.74826,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
98,33624.9,1.04792,0.75386,1.1923,0.6975,0.65843,0.69364,0.42184,1.64058,1.23306,1.74891,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598,0.010794,0.003598
99,33966.5,1.04561,0.75009,1.18958,0.70404,0.65033,0.69384,0.42096,1.64199,1.2346,1.75058,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532,0.010596,0.003532
100,34308,1.04134,0.74817,1.18903,0.70416,0.65202,0.69292,0.42122,1.64343,1.23624,1.75235,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
101,34649.2,1.03061,0.7421,1.18416,0.70423,0.65143,0.69292,0.42066,1.64514,1.23861,1.75438,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034,0.0102,0.0034
102,34990.3,1.02888,0.73933,1.17963,0.70499,0.65143,0.69419,0.42124,1.64719,1.24075,1.7569,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334,0.010002,0.003334
