frame,n_detections,breakdown
frame_000001.jpg,3,{'crack': 3}
frame_000002.jpg,4,{'crack': 4}
frame_000003.jpg,6,{'crack': 6}
frame_000004.jpg,6,{'crack': 6}
frame_000005.jpg,4,{'crack': 4}
frame_000006.jpg,4,{'crack': 4}
frame_000007.jpg,5,{'crack': 5}
frame_000008.jpg,3,{'crack': 3}
frame_000009.jpg,3,{'crack': 3}
frame_000010.jpg,3,{'crack': 3}
frame_000011.jpg,4,{'crack': 4}
frame_000012.jpg,3,{'crack': 3}
frame_000013.jpg,3,{'crack': 3}
frame_000014.jpg,1,{'crack': 1}
frame_000015.jpg,3,{'crack': 3}
frame_000016.jpg,3,{'crack': 3}
frame_000017.jpg,3,{'crack': 3}
frame_000018.jpg,3,{'crack': 3}
frame_000019.jpg,4,{'crack': 4}
frame_000020.jpg,5,{'crack': 5}
frame_000021.jpg,3,{'crack': 3}
frame_000022.jpg,2,{'crack': 2}
frame_000023.jpg,1,{'crack': 1}
frame_000024.jpg,1,{'crack': 1}
frame_000025.jpg,2,{'crack': 2}
frame_000026.jpg,1,{'crack': 1}
frame_000027.jpg,0,{}
frame_000028.jpg,2,{'crack': 2}
frame_000029.jpg,1,{'crack': 1}
frame_000030.jpg,2,{'crack': 2}
frame_000031.jpg,1,{'crack': 1}
frame_000032.jpg,1,{'crack': 1}
frame_000033.jpg,1,{'crack': 1}
frame_000034.jpg,1,{'crack': 1}
frame_000035.jpg,3,{'crack': 3}
frame_000036.jpg,2,{'crack': 2}
frame_000037.jpg,1,{'crack': 1}
frame_000038.jpg,3,{'crack': 3}
frame_000039.jpg,2,{'crack': 2}
frame_000040.jpg,3,{'crack': 3}
frame_000041.jpg,3,{'crack': 3}
frame_000042.jpg,1,{'crack': 1}
frame_000043.jpg,1,{'crack': 1}
frame_000044.jpg,2,{'crack': 2}
frame_000045.jpg,1,{'crack': 1}
frame_000046.jpg,1,{'crack': 1}
frame_000047.jpg,2,{'crack': 2}
frame_000048.jpg,3,{'crack': 3}
frame_000049.jpg,1,{'crack': 1}
frame_000050.jpg,0,{}
frame_000051.jpg,1,{'crack': 1}
frame_000052.jpg,1,{'crack': 1}
frame_000053.jpg,0,{}
frame_000054.jpg,0,{}
frame_000055.jpg,1,{'crack': 1}
frame_000056.jpg,1,{'crack': 1}
frame_000057.jpg,4,{'crack': 4}
frame_000058.jpg,4,{'crack': 4}
frame_000059.jpg,5,{'crack': 5}
frame_000060.jpg,4,{'crack': 4}
frame_000061.jpg,4,{'crack': 4}
frame_000062.jpg,2,{'crack': 2}
frame_000063.jpg,2,{'crack': 2}
frame_000064.jpg,3,{'crack': 3}
frame_000065.jpg,1,{'crack': 1}
frame_000066.jpg,1,{'crack': 1}
frame_000067.jpg,1,{'crack': 1}
frame_000068.jpg,3,{'crack': 3}
frame_000069.jpg,4,{'crack': 4}
frame_000070.jpg,3,{'crack': 3}
frame_000071.jpg,1,{'crack': 1}
frame_000072.jpg,3,{'crack': 3}
frame_000073.jpg,3,{'crack': 3}
frame_000074.jpg,2,{'crack': 2}
frame_000075.jpg,1,{'crack': 1}
frame_000076.jpg,1,{'crack': 1}
frame_000077.jpg,1,{'crack': 1}
frame_000078.jpg,1,{'crack': 1}
frame_000079.jpg,1,{'crack': 1}
frame_000080.jpg,1,{'crack': 1}
frame_000081.jpg,0,{}
frame_000082.jpg,2,{'crack': 2}
frame_000083.jpg,2,{'crack': 2}
frame_000084.jpg,3,{'crack': 3}
frame_000085.jpg,2,{'crack': 2}
frame_000086.jpg,2,{'crack': 2}
frame_000087.jpg,3,{'crack': 3}
frame_000088.jpg,2,{'crack': 2}
frame_000089.jpg,3,{'crack': 3}
frame_000090.jpg,2,{'crack': 2}
frame_000091.jpg,2,{'crack': 2}
