frame,crack_count,crack_bbox_area_px,frame_area_px,crack_density_pct,crack_length_px
frame_000001.jpg,3,1025687.4,8294400.0,12.366,5486.3
frame_000002.jpg,4,1162201.1,8294400.0,14.0119,5845.7
frame_000003.jpg,6,1515638.3,8294400.0,18.273,8400.8
frame_000004.jpg,6,1582066.1,8294400.0,19.0739,9271.7
frame_000005.jpg,4,1035163.0,8294400.0,12.4803,5986.9
frame_000006.jpg,4,1061609.2,8294400.0,12.7991,6033.8
frame_000007.jpg,5,1462712.3,8294400.0,17.6349,7963.8
frame_000008.jpg,3,979965.8,8294400.0,11.8148,5509.7
frame_000009.jpg,3,796982.9,8294400.0,9.6087,5467.5
frame_000010.jpg,3,593198.6,8294400.0,7.1518,5011.8
frame_000011.jpg,4,554972.5,8294400.0,6.6909,5452.5
frame_000012.jpg,3,477080.1,8294400.0,5.7518,4991.9
frame_000013.jpg,3,316712.7,8294400.0,3.8184,3227.0
frame_000014.jpg,1,194346.3,8294400.0,2.3431,1271.9
frame_000015.jpg,3,225934.7,8294400.0,2.7239,1659.3
frame_000016.jpg,3,253741.1,8294400.0,3.0592,1928.9
frame_000017.jpg,3,288058.1,8294400.0,3.4729,2125.2
frame_000018.jpg,3,257823.0,8294400.0,3.1084,1964.5
frame_000019.jpg,4,339418.4,8294400.0,4.0921,2621.6
frame_000020.jpg,5,359787.8,8294400.0,4.3377,2824.8
frame_000021.jpg,3,220567.9,8294400.0,2.6592,1747.9
frame_000022.jpg,2,181482.1,8294400.0,2.188,1355.0
frame_000023.jpg,1,130075.1,8294400.0,1.5682,877.7
frame_000024.jpg,1,81216.6,8294400.0,0.9792,588.1
frame_000025.jpg,2,56773.9,8294400.0,0.6845,590.3
frame_000026.jpg,1,17254.6,8294400.0,0.208,244.4
frame_000027.jpg,0,0.0,8294400.0,0.0,0.0
frame_000028.jpg,2,48526.4,8294400.0,0.585,648.4
frame_000029.jpg,1,64863.6,8294400.0,0.782,679.2
frame_000030.jpg,2,82626.1,8294400.0,0.9962,855.5
frame_000031.jpg,1,86150.4,8294400.0,1.0387,615.8
